sample	LONDD	LATDD	ELEV
S723	-112.25	36.25	1980
S724	-112.25	36.25	2103
S725	-112.25	36.25	2135
S726	-112.25	36.25	2255
S727	-111	38	1370
S728	-109.83	34.25	923
S729	-109.83	34.25	1500
S730	-109.83	34.25	1538
S731	-109.83	34.25	1577
S732	-109.83	34.25	1615
S733	-109.83	34.25	1654
S734	-109.83	34.25	1692
S735	-109.83	34.25	1731
S736	-109.83	34.25	1808
S737	-109.83	34.25	1846
S738	-109.83	34.25	1885
S739	-109.5	36.17	1860
S740	-109.49	36.17	1880
S741	-109.47	36.16	1915
S742	-109.46	36.17	1950
S743	-109.45	36.17	2000
S744	-109.45	36.18	2000
S745	-109.425	34	2780
S746	-109.41	36.21	2070
S747	-109.38	36.23	2100
S748	-109	36.25	1768
S749	-109	36.25	1768
S750	-109	36.25	1768
S751	-109	36.25	1768
S752	-109	36.25	1768
S753	-109	36.25	1768
S754	-109	36.25	1768
S755	-109	36.25	1768
S756	-109	36.25	1768
S757	-109	36.25	1768
S758	-109	36.25	1768
S759	-109	36.25	1768
S760	-109	36.25	1768
S761	-109	36.25	1768
S762	-109	36.25	1784
S763	-109	36.25	1784
S764	-109	36.25	1799
S765	-109	36.25	1799
S766	-109	36.25	1799
S767	-109	36.25	1799
S768	-109	36.25	1799
S769	-109	36.25	1799
S770	-109	36.25	1799
S771	-109	36.25	1799
S772	-109	36.25	1799
S773	-109	36.25	1799
S774	-109	36.25	1799
S775	-109	36.25	1814
S776	-109	36.25	1814
S777	-109	36.25	1829
S778	-109	36.25	1829
S779	-109	36.25	1936
S780	-109	36.25	1982
S781	-109	36.25	2012
S782	-109	36.25	2073
S783	-109	36.25	2073
S784	-109	36.25	2134
S785	-109	36.25	2134
S786	-109	36.25	2134
S787	-109	36.25	2134
S788	-109	36.25	2225
S789	-108.3	33.7	2080
S790	-124.5149	42.7594	2
S791	-124.2164	43.5244	16
S792	-124.1167	43.7833	2
S793	-123.9333	46.15	5
S794	-123.3633	41.55	1581
S795	-123.2186	41.4119	2073
S796	-123.1319	41.5622	1632
S797	-123.1289	41.5058	1878
S798	-123.1275	41.5353	1830
S799	-123.1119	41.57	1924
S800	-122.9686	41.0294	2023
S801	-122.9603	41.1936	1813
S802	-122.9558	41.2989	2204
S803	-122.9514	41.3078	2024
S804	-122.9036	41.2094	2015
S805	-122.8567	40.9528	1802
S806	-122.82	51.73	1113
S807	-122.7817	41.2247	2059
S808	-122.6875	41.2919	1684
S809	-122.6456	41.3361	1805
S810	-122.5613	41.371	2158
S811	-122.5583	41.3734	2073
S812	-122.5575	41.3467	1918
S813	-122.5133	41.2089	1888
S814	-122.51	41.1908	1848
S815	-122.5076	41.3205	2169
S816	-122.5067	41.2742	2198
S817	-122.5036	41.1917	1860
S818	-122.495	41.2072	1733
S819	-122.4917	41.3191	2365
S820	-121.9917	42.445	1262
S821	-121.9619	43.8108	1691
S822	-121.9355	42.3978	1262
S823	-121.9017	42.3183	1262
S824	-121.8771	42.3893	1262
S825	-121.8667	45.8833	914
S826	-121.7769	44.7964	1524
S827	-121.7383	46.7917	1630
S828	-121.6219	44.1014	1996
S829	-121.6081	46.6028	1219
S830	-121.5781	44.6219	1265
S831	-121.5581	45.3022	1363
S832	-121.5508	46.9033	1060
S833	-121.5175	46.8694	1620
S834	-121.5	50.35	320
S835	-121.4181	46.6289	1251
S836	-121.33	51.3	1097
S837	-121.25	50.62	1143
S838	-121.1	47.25	792
S839	-121.0669	46.6397	1097
