sample	vegcode	elev
S1651	14	762
S1652	14	610
S1653	14	880
S1654	14	1036
S1655	14	914
S1656	14	642
S1657	14	1311
S1658	14	1000
S1659	14	945
S1660	14	1463
S1661	14	975
S1662	14	704
S1663	14	625
S1664	14	820
S1665	14	725
S1666	14	1071
S1667	14	762
S1668	14	762
S1669	14	762
S1670	14	472
S1671	14	524
S1672	14	524
S1673	14	494
S1674	14	494
S1675	14	524
S1676	14	524
S1677	14	524
S1678	14	524
S1679	14	358
S1680	14	358
S1681	14	358
S1682	14	358
S1683	14	594
S1684	14	594
S1685	14	594
S1686	14	594
S1687	14	594
S1688	14	594
S1689	14	594
S1690	14	594
S1691	14	369
S1692	14	1372
S1693	14	358
S1694	14	358
S1695	14	358
S1696	14	358
S1697	14	358
S1698	14	358
S1699	14	358
S1700	14	358
S1701	14	351
S1702	14	351
S1703	14	351
S1704	14	351
S1705	14	351
S1706	14	351
S1707	14	351
S1708	14	746
S1709	14	337
S1710	14	299
S1711	14	299
S1712	14	299
S1713	14	299
S1714	14	299
S1715	14	299
S1716	14	330
S1717	14	305
S1718	14	689
S1719	14	689
S1720	14	440
S1721	14	440
S1722	14	546
S1723	14	701
S1724	14	351
S1725	14	340
S1726	14	351
S1727	14	340
S1728	14	526
S1729	14	526
S1730	14	526
S1731	14	304
S1732	14	351
S1733	15	9
